source,semantics,operator,model_degree,model_name,n_points,intercept,coef_b,coef_b2,r2,adjusted_r2,rmse
native,DelayedQualitative,F,0,constant,51,0.16515147058823523,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0063010656190369465
native,DelayedQualitative,G,0,constant,51,0.16338621568627448,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.006186966079364338
native,DelayedQualitative,U,1,linear,51,1.413331113470015,0.0036424873939265526,0.0,0.993772668436111,0.993645580036848,0.42441600699948906
native,DelayedQuantitative,F,0,constant,51,0.24685531372549013,0.0,0.0,2.220446049250313e-16,3.3306690738754696e-16,0.019194189783134582
native,DelayedQuantitative,G,0,constant,51,0.2634462549019608,0.0,0.0,0.0,0.0,0.023014672365086586
native,DelayedQuantitative,U,1,linear,51,1.6832008611388902,0.0050565420983515194,0.0,0.9953149362250154,0.9952193226785871,0.5106429579947024
native,EagerQualitative,F,0,constant,51,0.12867529411764703,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.001189441890776521
native,EagerQualitative,G,0,constant,51,0.12681772549019604,0.0,0.0,2.220446049250313e-16,3.3306690738754696e-16,0.0011902860272241952
native,EagerQualitative,U,1,linear,51,0.5958466777361938,0.0010064022198685045,0.0,0.9982305737230334,0.9981944629826871,0.06236754020196388
native,Rosi,F,1,linear,11,-1.520801920861853,0.04330211727494642,0.0,0.9978181734070605,0.9975757482300672,0.6400239499569289
native,Rosi,G,1,linear,11,-2.7634812259789863,0.05535481248605137,0.0,0.9952914445975762,0.9947682717750848,1.2034464610545341
native,Rosi,U,2,quadratic,11,-11.587464451165104,0.2512793383473029,0.002742227713892619,0.9995283839894168,0.999410479986771,21.224286092037183
python,DelayedQualitative,F,0,constant,51,0.2529641329802852,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.015695986515699117
python,DelayedQualitative,G,0,constant,51,0.24878568660774888,0.0,0.0,0.0,0.0,0.013034401479163647
python,DelayedQualitative,U,1,linear,52,0.7971589439455318,0.003599090055710286,0.0,0.9929555713291179,0.9928146827557003,0.44628719609387185
python,DelayedQuantitative,F,0,constant,51,0.3395041528431147,0.0,0.0,0.0,0.0,0.02362189225849221
python,DelayedQuantitative,G,0,constant,51,0.35468866537253535,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0243206208952197
python,DelayedQuantitative,U,1,linear,52,0.7703119687608293,0.004611777524512943,0.0,0.9865210135052936,0.9862514337753995,0.793610730528437
python,EagerQualitative,F,0,constant,51,0.21251064776472448,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.010623390248273312
python,EagerQualitative,G,0,constant,51,0.21129716715690125,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.010768893655703998
python,EagerQualitative,U,1,linear,52,0.44123622169881116,0.0011405677999210648,0.0,0.9882627081362546,0.9880279622989797,0.18299220436992486
python,Rosi,F,1,linear,11,-1.4356411980171293,0.042749903415053234,0.0,0.9977235194569775,0.9974705771744194,0.645453094811787
python,Rosi,G,1,linear,11,-2.639067630153373,0.054361419818160873,0.0,0.9952075307352493,0.9946750341502769,1.1923844830267964
python,Rosi,U,2,quadratic,12,4.5463364002979665,0.1531648179776198,0.002227635428252472,0.9999595156928228,0.9999505191801168,5.446052794581147
rtamt,dense-time-python,F,0,constant,102,19.79062018047376,0.0,0.0,0.0,0.0,0.2877049103355138
rtamt,dense-time-python,G,0,constant,102,19.865419619416535,0.0,0.0,0.0,0.0,0.3187341445179322
rtamt,dense-time-python,U,1,linear,11,130.03731692395095,-0.022472044666270473,0.0,0.4978687221858409,0.4420763579842677,7.133398535411552
rtamt,discrete-time-cpp,F,1,linear,51,2.162041343530944,0.00047490589207870476,0.0,0.9996217041159432,0.9996139837917788,0.013598523444047182
rtamt,discrete-time-cpp,G,1,linear,51,2.1577344374872354,0.0004787337437051953,0.0,0.9990108034901911,0.9989906158063174,0.02217361293850588
rtamt,discrete-time-cpp,U,2,quadratic,11,3.613432893735448,-0.012051141757422171,0.00022509838077717164,0.999978030263469,0.9999725378293363,0.3292528222535644
rtamt,discrete-time-python,F,1,linear,102,-1.5207005736834434,0.03711418338705332,0.0,0.279875992042545,0.2726747519629704,87.62881894015693
rtamt,discrete-time-python,G,1,linear,102,-2.111058936270806,0.03719324765126185,0.0,0.2793614619274881,0.27215507654676296,87.92772229893107
rtamt,discrete-time-python,U,2,quadratic,16,30.678016179029825,-0.5277314951437495,0.031219416123760578,0.9998904115940959,0.9998735518393413,53.30369015577075
