formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,std_total_s,avg_per_sample_s,std_per_sample_s,avg_per_sample_us,std_per_sample_us,avg_cache_size,max_cache_size,benchmark_kind,interval_len
1,(x < 0.5) and (x > -0.5),DelayedQuantitative,Incremental,online,20000,1,0.003291875000,0.000000000000,0.000000164594,0.000000000000,0.164594,0.000000,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQuantitative,Incremental,online,20000,1,0.009532250000,0.000000000000,0.000000476613,0.000000000000,0.476613,0.000000,104.578950,686,general,1000
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQuantitative,Incremental,online,20000,1,0.009047416000,0.000000000000,0.000000452371,0.000000000000,0.452371,0.000000,87.971850,152,general,100
1,(x < 0.5) and (x > -0.5),DelayedQualitative,Incremental,online,20000,1,0.003219000000,0.000000000000,0.000000160950,0.000000000000,0.160950,0.000000,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQualitative,Incremental,online,20000,1,0.007042541000,0.000000000000,0.000000352127,0.000000000000,0.352127,0.000000,2.689100,4,general,1000
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQualitative,Incremental,online,20000,1,0.006856083000,0.000000000000,0.000000342804,0.000000000000,0.342804,0.000000,2.872650,4,general,100
1,(x < 0.5) and (x > -0.5),EagerQualitative,Incremental,online,20000,1,0.003225750000,0.000000000000,0.000000161287,0.000000000000,0.161288,0.000000,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",EagerQualitative,Incremental,online,20000,1,0.005963625000,0.000000000000,0.000000298181,0.000000000000,0.298181,0.000000,2.692800,4,general,1000
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",EagerQualitative,Incremental,online,20000,1,0.006283250000,0.000000000000,0.000000314162,0.000000000000,0.314162,0.000000,2.872650,4,general,100
1,(x < 0.5) and (x > -0.5),Rosi,Incremental,online,20000,1,0.003421333000,0.000000000000,0.000000171067,0.000000000000,0.171067,0.000000,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",Rosi,Incremental,online,20000,1,9.597922583000,0.000000000000,0.000479896129,0.000000000000,479.896129,0.000000,1111.325000,1202,general,1000
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",Rosi,Incremental,online,20000,1,0.241274291000,0.000000000000,0.000012063715,0.000000000000,12.063715,0.000000,87.971850,152,general,100
3,"(x < 0.5) U[0,1000] (x < 0.0)",DelayedQuantitative,Incremental,online,20000,1,0.128330875000,0.000000000000,0.000006416544,0.000000000000,6.416544,0.000000,1951.950000,2002,general,1000
3,"(x < 0.5) U[0,1000] (x < 0.0)",DelayedQualitative,Incremental,online,20000,1,0.097229041000,0.000000000000,0.000004861452,0.000000000000,4.861452,0.000000,1951.950000,2002,general,1000
3,"(x < 0.5) U[0,1000] (x < 0.0)",EagerQualitative,Incremental,online,20000,1,0.022718000000,0.000000000000,0.000001135900,0.000000000000,1.135900,0.000000,1951.950000,2002,general,1000
3,"(x < 0.5) U[0,1000] (x < 0.0)",Rosi,Incremental,online,20000,1,59.639999708000,0.000000000000,0.002981999985,0.000000000000,2981.999985,0.000000,1951.950000,2002,general,1000
