formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,std_total_s,avg_per_sample_s,std_per_sample_s,avg_per_sample_us,std_per_sample_us,benchmark_kind,interval_len
1,(x < 0.5) and (x > -0.5),DelayedQuantitative,Incremental,online,20000,50,0.003229793300,0.000067033601,0.000000161490,0.000000003352,0.161490,0.003352,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.009478378260,0.000149285119,0.000000473919,0.000000007464,0.473919,0.007464,general,1000
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.008924886640,0.000199289127,0.000000446244,0.000000009964,0.446244,0.009964,general,100
5,"(x < 0.0) U[0,1] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006011403340,0.000089667362,0.000000300570,0.000000004483,0.300570,0.004483,general,1
5,"(x < 0.0) U[0,100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.025691076620,0.000278186018,0.000001284554,0.000000013909,1.284554,0.013909,general,100
5,"(x < 0.0) U[0,200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.039482285000,0.000711799137,0.000001974114,0.000000035590,1.974114,0.035590,general,200
5,"(x < 0.0) U[0,300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.053249786700,0.000754043862,0.000002662489,0.000000037702,2.662489,0.037702,general,300
5,"(x < 0.0) U[0,400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.063147811580,0.000788116678,0.000003157391,0.000000039406,3.157391,0.039406,general,400
5,"(x < 0.0) U[0,500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.074339142580,0.000790826463,0.000003716957,0.000000039541,3.716957,0.039541,general,500
5,"(x < 0.0) U[0,600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.090001538340,0.000850142423,0.000004500077,0.000000042507,4.500077,0.042507,general,600
5,"(x < 0.0) U[0,700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.100774587460,0.000954380010,0.000005038729,0.000000047719,5.038729,0.047719,general,700
5,"(x < 0.0) U[0,800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.111571868400,0.001145815529,0.000005578593,0.000000057291,5.578593,0.057291,general,800
5,"(x < 0.0) U[0,900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.119592643340,0.001170173958,0.000005979632,0.000000058509,5.979632,0.058509,general,900
5,"(x < 0.0) U[0,1000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.130453138340,0.001125774025,0.000006522657,0.000000056289,6.522657,0.056289,general,1000
5,"(x < 0.0) U[0,1100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.151898503360,0.001250522503,0.000007594925,0.000000062526,7.594925,0.062526,general,1100
5,"(x < 0.0) U[0,1200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.161782349160,0.001139494549,0.000008089117,0.000000056975,8.089117,0.056975,general,1200
5,"(x < 0.0) U[0,1300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.172340778400,0.001257306876,0.000008617039,0.000000062865,8.617039,0.062865,general,1300
5,"(x < 0.0) U[0,1400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.182661744180,0.001755121362,0.000009133087,0.000000087756,9.133087,0.087756,general,1400
5,"(x < 0.0) U[0,1500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.192319847560,0.001270134346,0.000009615992,0.000000063507,9.615992,0.063507,general,1500
5,"(x < 0.0) U[0,1600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.202602250760,0.001276063953,0.000010130113,0.000000063803,10.130113,0.063803,general,1600
5,"(x < 0.0) U[0,1700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.212861160840,0.001507554823,0.000010643058,0.000000075378,10.643058,0.075378,general,1700
5,"(x < 0.0) U[0,1800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.222661281700,0.001462138903,0.000011133064,0.000000073107,11.133064,0.073107,general,1800
5,"(x < 0.0) U[0,1900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.231911430040,0.001387580118,0.000011595572,0.000000069379,11.595572,0.069379,general,1900
5,"(x < 0.0) U[0,2000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.241980014200,0.002507390872,0.000012099001,0.000000125370,12.099001,0.125370,general,2000
5,"(x < 0.0) U[0,2100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.263091374980,0.001888585814,0.000013154569,0.000000094429,13.154569,0.094429,general,2100
5,"(x < 0.0) U[0,2200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.272448923220,0.001782929208,0.000013622446,0.000000089146,13.622446,0.089146,general,2200
5,"(x < 0.0) U[0,2300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.282754003340,0.001768568514,0.000014137700,0.000000088428,14.137700,0.088428,general,2300
5,"(x < 0.0) U[0,2400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.290957620780,0.001826318768,0.000014547881,0.000000091316,14.547881,0.091316,general,2400
5,"(x < 0.0) U[0,2500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.299774991720,0.001419989619,0.000014988750,0.000000070999,14.988750,0.070999,general,2500
5,"(x < 0.0) U[0,2600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.309170960000,0.001963391073,0.000015458548,0.000000098170,15.458548,0.098170,general,2600
5,"(x < 0.0) U[0,2700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.317794244920,0.001554666675,0.000015889712,0.000000077733,15.889712,0.077733,general,2700
5,"(x < 0.0) U[0,2800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.326038427540,0.001550393385,0.000016301921,0.000000077520,16.301921,0.077520,general,2800
5,"(x < 0.0) U[0,2900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.335416823360,0.001945695859,0.000016770841,0.000000097285,16.770841,0.097285,general,2900
5,"(x < 0.0) U[0,3000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.343673874180,0.001754048502,0.000017183694,0.000000087702,17.183694,0.087702,general,3000
5,"(x < 0.0) U[0,3100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.351880524200,0.001816263209,0.000017594026,0.000000090813,17.594026,0.090813,general,3100
5,"(x < 0.0) U[0,3200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.360189710000,0.001346318352,0.000018009486,0.000000067316,18.009486,0.067316,general,3200
5,"(x < 0.0) U[0,3300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.369251256720,0.001582185009,0.000018462563,0.000000079109,18.462563,0.079109,general,3300
5,"(x < 0.0) U[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.376843110900,0.001714837119,0.000018842156,0.000000085742,18.842156,0.085742,general,3400
5,"(x < 0.0) U[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.386394083340,0.002380080184,0.000019319704,0.000000119004,19.319704,0.119004,general,3500
5,"(x < 0.0) U[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.393534978360,0.001945842026,0.000019676749,0.000000097292,19.676749,0.097292,general,3600
