source,semantics,operator,model_degree,model_name,n_points,intercept,coef_b,coef_b2,r2,adjusted_r2,rmse
native,DelayedQualitative,F,0,constant,51,0.16341043137254901,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.005468007219378246
native,DelayedQualitative,G,0,constant,51,0.16294250980392153,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.005499129554551975
native,DelayedQualitative,U,1,linear,51,2.2566085049493685,0.008337644075321624,0.0,0.996257194023514,0.9961808102280755,0.7522158851724401
native,DelayedQuantitative,F,0,constant,51,0.24751862745098036,0.0,0.0,0.0,0.0,0.0188043124725976
native,DelayedQuantitative,G,0,constant,51,0.26360474509803916,0.0,0.0,0.0,0.0,0.022568837207437367
native,DelayedQuantitative,U,1,linear,51,2.062266240325112,0.009512768407647159,0.0,0.9970462318693142,0.9969859508870553,0.7621206035973151
native,EagerQualitative,F,0,constant,51,0.1281685882352941,0.0,0.0,0.0,0.0,0.0009003518305002338
native,EagerQualitative,G,0,constant,51,0.1277306470588235,0.0,0.0,0.0,0.0,0.0010781251486802624
native,EagerQualitative,U,1,linear,51,0.7579310112286177,0.0010073620005124713,0.0,0.9964878110882882,0.9964161337635594,0.0880287894891384
native,Rosi,F,1,linear,11,0.29476289632697905,0.04732460082537776,0.0,0.9989898525870746,0.9988776139856385,0.47566531276718715
native,Rosi,G,1,linear,11,-0.9660564922983954,0.060998110964421405,0.0,0.9990396466466686,0.9989329407185206,0.597782553410663
native,Rosi,U,2,quadratic,11,5.997937467956271,-0.016958929249068454,0.003907802209831011,0.9999077053777408,0.9998846317221759,12.277190936281492
python,DelayedQualitative,F,0,constant,51,0.26733816009796185,0.0,0.0,0.0,0.0,0.008412750730937281
python,DelayedQualitative,G,0,constant,51,0.2613090294902861,0.0,0.0,0.0,0.0,0.007844411967086401
python,DelayedQualitative,U,1,linear,51,1.0637146168251752,0.005642197770079558,0.0,0.9916304995692934,0.9914596934380545,0.762973338312643
python,DelayedQuantitative,F,0,constant,51,0.4305501124117631,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.03495480402700866
python,DelayedQuantitative,G,0,constant,51,0.474486329039243,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.048247064164785816
python,DelayedQuantitative,U,1,linear,51,1.6096537761416536,0.008730327890391236,0.0,0.9971977942034116,0.9971406063300118,0.6812023555418067
python,EagerQualitative,F,0,constant,51,0.2468588551961307,0.0,0.0,0.0,0.0,0.004738629028752404
python,EagerQualitative,G,0,constant,51,0.2403578939998873,0.0,0.0,0.0,0.0,0.005076405213290483
python,EagerQualitative,U,1,linear,51,0.5797075181333535,0.0011595580023701618,0.0,0.9870856240856312,0.9868220653935011,0.19522615588407993
python,Rosi,F,1,linear,11,-4.767844401995171,0.08571668013669279,0.0,0.9939236208375885,0.9932484675973206,2.118429192046445
python,Rosi,G,1,linear,11,-7.853581570480487,0.11202030211748384,0.0,0.9897120616453415,0.9885689573837129,3.6100163428491943
python,Rosi,U,2,quadratic,11,3.910754422339899,0.20424189643311066,0.004071890135794436,0.9999740476303227,0.9999675595379034,7.128172292626217
